"destination","commercial.flag","city","region","country","fligh.direction","flight.type","date","date.year","nbr.of.passengers","cargo.weight","nbr.of.flights","seat.capacity"
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2007-06-01,2007,0,0,1,119
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2007-02-01,2007,169,0,1,183
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2007-08-01,2007,373,0,4,418
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2008-11-01,2008,179,0,1,180
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2008-07-01,2008,324,0,4,514
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2010-07-01,2010,660,0,4,720
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2010-10-01,2010,735,0,5,840
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2011-07-01,2011,325,0,2,360
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2007-09-01,2007,277,0,3,306
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2009-09-01,2009,252,0,2,368
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2007-07-01,2007,263,0,3,326
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2008-06-01,2008,0,0,1,112
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2009-10-01,2009,461,0,4,736
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Scheduled",2007-01-01,2007,137,0,1,183
"Agadir","Commercial","Agadir","","Morocco","Incoming","Scheduled",2007-07-01,2007,198,0,2,214
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2011-08-01,2011,660,0,4,720
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2007-06-01,2007,102,0,1,119
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2007-08-01,2007,283,0,3,306
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2010-09-01,2010,375,0,3,504
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2011-09-01,2011,574,0,4,720
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2011-07-01,2011,506,0,3,540
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2008-10-01,2008,447,0,4,598
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2007-07-01,2007,277,0,3,326
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2009-10-01,2009,501,0,5,920
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2009-07-01,2009,212,0,2,336
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2007-01-01,2007,159,0,1,183
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2010-11-01,2010,163,0,1,180
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2010-09-01,2010,508,0,4,672
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Scheduled",2007-09-01,2007,100,0,1,112
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2009-06-01,2009,176,0,1,176
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2010-11-01,2010,0,0,1,180
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2011-10-01,2011,313,0,2,336
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Scheduled",2007-07-01,2007,195,0,2,214
"Ai Udeid","Commercial","Ai Udeid","","Katar","Incoming","Non Scheduled",2008-10-01,2008,0,0,2,490
"Ai Udeid","Commercial","Ai Udeid","","Katar","Outgoing","Non Scheduled",2008-05-01,2008,0,0,2,0
"Ai Udeid","Commercial","Ai Udeid","","Katar","Outgoing","Non Scheduled",2008-11-01,2008,0,0,2,0
"Ai Udeid","Commercial","Ai Udeid","","Katar","Incoming","Non Scheduled",2008-12-01,2008,0,0,2,0
"Ai Udeid","Commercial","Ai Udeid","","Katar","Incoming","Non Scheduled",2008-07-01,2008,0,0,1,0
"Ai Udeid","Commercial","Ai Udeid","","Katar","Outgoing","Non Scheduled",2008-10-01,2008,0,0,2,490
"Ai Udeid","Commercial","Ai Udeid","","Katar","Incoming","Non Scheduled",2008-08-01,2008,0,0,3,0
"Ai Udeid","Commercial","Ai Udeid","","Katar","Incoming","Non Scheduled",2008-09-01,2008,0,0,5,0
"Ai Udeid","Commercial","Ai Udeid","","Katar","Outgoing","Non Scheduled",2008-06-01,2008,0,0,1,0
"Ai Udeid","Commercial","Ai Udeid","","Katar","Outgoing","Non Scheduled",2008-08-01,2008,0,0,1,0
"Ai Udeid","Commercial","Ai Udeid","","Katar","Incoming","Non Scheduled",2008-05-01,2008,0,0,1,0
"Ai Udeid","Commercial","Ai Udeid","","Katar","Outgoing","Non Scheduled",2008-12-01,2008,0,0,1,0
"Ai Udeid","Commercial","Ai Udeid","","Katar","Outgoing","Non Scheduled",2008-07-01,2008,0,0,3,0
"Ai Udeid","Commercial","Ai Udeid","","Katar","Outgoing","Non Scheduled",2008-09-01,2008,0,0,7,0
"Akita","Commercial","Akita","Japan RJ","Japan","Incoming","Non Scheduled",2007-07-01,2007,110,0,1,185
"Akita","Commercial","Akita","Japan RJ","Japan","Outgoing","Non Scheduled",2007-10-01,2007,160,0,1,185
"Akita","Commercial","Akita","Japan RJ","Japan","Outgoing","Scheduled",2007-07-01,2007,180,0,1,185
"Akita","Commercial","Akita","Japan RJ","Japan","Incoming","Non Scheduled",2007-10-01,2007,92,0,1,185
"Alderney Blaye","Commercial","Alderney Blaye","","United Kingdom","Outgoing","Non Scheduled",2010-07-01,2010,0,0,1,0
"Alesund","Commercial","Alesund","","Norway","Incoming","Non Scheduled",2011-07-01,2011,73,0,1,140
"Alesund","Commercial","Alesund","","Norway","Outgoing","Non Scheduled",2011-07-01,2011,74,0,1,100
"Alexandropolis","Commercial","Alexandropolis","","Greece","Outgoing","Non Scheduled",2007-09-01,2007,0,0,1,170
"Alexandropolis","Commercial","Alexandropolis","","Greece","Incoming","Non Scheduled",2008-11-01,2008,0,0,1,189
