"destination","commercial.flag","city","region","country","fligh.direction","flight.type","date","date.year","nbr.of.passengers","cargo.weight","nbr.of.flights","seat.capacity"
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2012-03-01,2012,3618,405,63,8192
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2011-05-01,2011,3551,1875,56,5213
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2007-03-01,2007,2679,0,55,5145
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2007-05-01,2007,3096,0,58,4713
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2007-06-01,2007,3111,0,56,4835
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2008-05-01,2008,3264,0,57,5816
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2008-08-01,2008,4550,0,57,5869
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2008-12-01,2008,2116,0,50,5475
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2009-09-01,2009,5143,0,55,6402
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2010-12-01,2010,2511,0,45,4505
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2012-06-01,2012,5346,1448,70,8370
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2012-03-01,2012,3823,1435,62,8008
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2012-02-01,2012,1754,975,50,6303
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2011-08-01,2011,3533,484,62,5623
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2007-03-01,2007,2943,0,54,5138
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2007-10-01,2007,3600,0,58,5325
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2007-07-01,2007,4418,0,58,5459
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2009-03-01,2009,2620,0,52,6219
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2009-10-01,2009,5007,0,56,6395
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2010-07-01,2010,4944,0,57,6338
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2010-05-01,2010,3575,0,57,5756
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Non Scheduled",2007-10-01,2007,0,0,1,156
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Non Scheduled",2009-12-01,2009,0,0,1,0
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2012-06-01,2012,4082,0,30,4680
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2011-09-01,2011,3661,0,25,3900
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2011-07-01,2011,4341,0,31,4836
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2011-06-01,2011,3610,0,25,3900
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2011-04-01,2011,3563,0,26,4056
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2011-03-01,2011,3099,0,22,3432
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2007-05-01,2007,3983,0,31,4836
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2008-03-01,2008,4158,0,31,4836
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2008-01-01,2008,3402,0,31,4836
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2008-07-01,2008,4119,0,31,4836
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2010-11-01,2010,2384,0,17,2652
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2009-12-01,2009,1503,0,12,1872
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2010-02-01,2010,2026,0,16,2496
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2011-03-01,2011,3046,0,22,3432
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2007-06-01,2007,3799,0,30,4680
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2008-04-01,2008,3339,0,30,4680
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2009-02-01,2009,3662,0,28,4368
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2010-09-01,2010,4160,0,30,4680
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Non Scheduled",2007-06-01,2007,0,0,1,189
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Non Scheduled",2008-03-01,2008,57,0,2,283
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Non Scheduled",2010-01-01,2010,0,0,1,167
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Non Scheduled",2008-05-01,2008,0,0,1,295
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Non Scheduled",2008-11-01,2008,0,0,2,328
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2011-06-01,2011,3018,2368,56,5468
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2008-07-01,2008,2733,0,58,6719
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2010-01-01,2010,2243,0,44,3559
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2007-05-01,2007,3079,0,58,4713
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2007-11-01,2007,2473,0,56,4665
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2008-05-01,2008,3505,0,57,5816
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2008-07-01,2008,5061,0,58,6719
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2010-11-01,2010,3383,0,47,5149
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Non Scheduled",2007-10-01,2007,133,0,1,174
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2012-03-01,2012,3692,0,31,4836
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2011-01-01,2011,2494,0,19,2964
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2007-10-01,2007,3983,0,31,4836
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2007-12-01,2007,3388,0,30,4680
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2007-09-01,2007,4028,0,30,4680
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2007-08-01,2007,4047,0,31,4836
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2008-05-01,2008,4182,0,31,4836
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2008-12-01,2008,3472,0,30,4680
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2009-09-01,2009,3865,0,30,4680
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2009-10-01,2009,3907,0,30,4680
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2010-06-01,2010,4163,0,30,4680
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2010-08-01,2010,4517,0,31,4836
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2010-03-01,2010,2468,0,19,2964
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2011-10-01,2011,3498,0,27,4212
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2011-08-01,2011,4402,0,31,4836
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2011-04-01,2011,3556,0,26,4056
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2011-02-01,2011,2721,0,20,3120
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2007-04-01,2007,3608,0,29,4524
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2008-12-01,2008,3841,0,30,4680
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2009-06-01,2009,3303,0,30,3840
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2009-10-01,2009,3570,0,30,4680
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2009-09-01,2009,3585,0,30,4680
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2008-01-01,2008,2632,0,52,4861
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2008-10-01,2008,3814,0,56,5599
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2009-02-01,2009,1732,0,40,4826
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2009-07-01,2009,3278,0,56,6372
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2011-12-01,2011,3815,772,52,5340
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2011-05-01,2011,3636,1223,56,5213
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2007-04-01,2007,3084,0,55,4851
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2007-12-01,2007,2610,0,53,4404
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2009-01-01,2009,1824,0,48,5790
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2010-03-01,2010,2820,0,57,4709
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2012-05-01,2012,4191,0,31,4836
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2012-04-01,2012,4047,0,30,4680
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2011-08-01,2011,4494,0,31,4836
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2011-05-01,2011,3725,0,27,4212
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2007-06-01,2007,4095,0,30,4680
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2007-11-01,2007,3574,0,30,4680
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2008-09-01,2008,4123,0,30,4680
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2008-08-01,2008,4449,0,31,4829
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2009-06-01,2009,4049,0,30,4049
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2010-10-01,2010,4384,0,31,4836
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2011-12-01,2011,3608,0,28,4368
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2011-11-01,2011,3902,0,30,4680
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2012-01-01,2012,2605,0,22,3432
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2007-03-01,2007,4094,0,31,4836
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2008-03-01,2008,4125,0,31,4836
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2008-08-01,2008,4148,0,31,4829
"Berlin/Schonefeld","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2010-05-01,2010,4297,0,31,4836
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Non Scheduled",2007-01-01,2007,0,0,1,122
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2011-07-01,2011,3262,13596,61,6122
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2011-04-01,2011,3333,3680,58,6220
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2007-09-01,2007,3883,0,55,4503
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2008-02-01,2008,1987,0,46,3716
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2008-06-01,2008,2937,0,56,5037
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2008-11-01,2008,2994,0,53,6146
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2009-05-01,2009,3602,0,56,6277
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Outgoing","Scheduled",2010-03-01,2010,2649,0,57,4709
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2012-05-01,2012,5370,1666,71,9013
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2012-04-01,2012,4289,937,56,6160
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2011-11-01,2011,3473,436,56,5609
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2011-03-01,2011,3166,1150,46,5114
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2007-06-01,2007,3116,0,55,4733
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2007-01-01,2007,1653,0,49,3813
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2008-01-01,2008,1886,0,51,4794
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2008-02-01,2008,1961,0,46,3716
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2008-12-01,2008,2463,0,50,5475
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2009-06-01,2009,3689,0,55,5695
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2009-09-01,2009,4881,0,55,6438
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2010-10-01,2010,3839,0,55,5327
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2010-04-01,2010,2425,0,47,4754
"Berlin/Tegel","Commercial","Berlin","Germany ED","Germany","Incoming","Scheduled",2010-02-01,2010,2083,0,44,3303
"Bern","Commercial","Bern","","Switzerland","Incoming","Non Scheduled",2011-10-01,2011,41,0,1,50
"Bern","Commercial","Bern","","Switzerland","Incoming","Scheduled",2012-06-01,2012,197,0,9,279
"Bern","Commercial","Bern","","Switzerland","Incoming","Scheduled",2012-05-01,2012,181,0,9,279
"Bern","Commercial","Bern","","Switzerland","Outgoing","Scheduled",2012-06-01,2012,160,0,9,279
"Bern","Commercial","Bern","","Switzerland","Incoming","Scheduled",2012-03-01,2012,119,0,8,248
"Bern","Commercial","Bern","","Switzerland","Incoming","Scheduled",2012-02-01,2012,117,0,8,248
"Bern","Commercial","Bern","","Switzerland","Outgoing","Scheduled",2012-02-01,2012,107,0,8,248
"Bern","Commercial","Bern","","Switzerland","Incoming","Scheduled",2012-04-01,2012,154,0,8,248
"Bern","Commercial","Bern","","Switzerland","Outgoing","Non Scheduled",2011-10-01,2011,44,0,1,50
"Bern","Commercial","Bern","","Switzerland","Outgoing","Scheduled",2012-05-01,2012,183,0,9,279
"Bern","Commercial","Bern","","Switzerland","Outgoing","Scheduled",2011-11-01,2011,140,0,8,300
"Bern","Commercial","Bern","","Switzerland","Outgoing","Scheduled",2011-10-01,2011,11,0,1,33
"Bern","Commercial","Bern","","Switzerland","Incoming","Scheduled",2011-12-01,2011,129,0,7,217
"Bern","Commercial","Bern","","Switzerland","Outgoing","Scheduled",2012-01-01,2012,232,0,9,279
"Bern","Commercial","Bern","","Switzerland","Incoming","Scheduled",2011-11-01,2011,132,0,8,300
"Bern","Commercial","Bern","","Switzerland","Outgoing","Scheduled",2012-04-01,2012,150,0,8,248
"Bern","Commercial","Bern","","Switzerland","Outgoing","Scheduled",2011-12-01,2011,105,0,7,217
"Bern","Commercial","Bern","","Switzerland","Incoming","Scheduled",2012-01-01,2012,115,0,9,279
"Bern","Commercial","Bern","","Switzerland","Outgoing","Scheduled",2012-03-01,2012,108,0,8,248
"Bern","Commercial","Bern","","Switzerland","Incoming","Scheduled",2011-10-01,2011,15,0,1,33
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Outgoing","Non Scheduled",2007-07-01,2007,657,0,5,792
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Incoming","Non Scheduled",2012-06-01,2012,158,0,1,168
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Incoming","Non Scheduled",2007-07-01,2007,0,0,5,792
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Incoming","Non Scheduled",2009-07-01,2009,137,0,1,190
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Outgoing","Non Scheduled",2012-04-01,2012,135,0,1,168
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Incoming","Non Scheduled",2008-07-01,2008,464,0,4,662
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Incoming","Non Scheduled",2008-08-01,2008,733,0,5,755
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Incoming","Non Scheduled",2009-09-01,2009,423,0,3,570
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Incoming","Non Scheduled",2011-06-01,2011,91,0,1,150
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Incoming","Non Scheduled",2008-09-01,2008,363,0,3,456
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Outgoing","Non Scheduled",2007-04-01,2007,148,0,1,150
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Outgoing","Non Scheduled",2007-09-01,2007,429,0,3,492
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Outgoing","Non Scheduled",2007-08-01,2007,601,0,4,657
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Incoming","Non Scheduled",2007-04-01,2007,148,0,1,150
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Incoming","Non Scheduled",2007-08-01,2007,0,0,4,657
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Incoming","Non Scheduled",2009-08-01,2009,843,0,4,843
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Incoming","Non Scheduled",2010-08-01,2010,211,0,1,211
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Outgoing","Non Scheduled",2011-06-01,2011,2,0,1,150
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Outgoing","Non Scheduled",2011-05-01,2011,182,0,1,189
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Incoming","Non Scheduled",2007-09-01,2007,0,0,3,492
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Outgoing","Non Scheduled",2012-01-01,2012,0,0,1,0
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Outgoing","Non Scheduled",2008-09-01,2008,286,0,2,307
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Outgoing","Non Scheduled",2008-07-01,2008,525,0,4,662
"Bilbao","Commercial","Bilbao","Spain LE","Spain","Outgoing","Non Scheduled",2008-08-01,2008,732,0,5,755
"Billund","Commercial","Billund","","Denmark","Incoming","Non Scheduled",2010-11-01,2010,17,0,1,50
"Billund","Commercial","Billund","","Denmark","Outgoing","Non Scheduled",2010-11-01,2010,0,0,1,50
"Billund","Commercial","Billund","","Denmark","Outgoing","Non Scheduled",2010-09-01,2010,0,0,1,0
"Billund","Commercial","Billund","","Denmark","Outgoing","Scheduled",2009-03-01,2009,0,2904,1,0
"Billund","Commercial","Billund","","Denmark","Incoming","Scheduled",2012-05-01,2012,848,0,7,1323
"Billund","Commercial","Billund","","Denmark","Outgoing","Non Scheduled",2008-09-01,2008,0,0,1,148
"Billund","Commercial","Billund","","Denmark","Outgoing","Non Scheduled",2009-05-01,2009,50,0,1,50
"Billund","Commercial","Billund","","Denmark","Incoming","Non Scheduled",2008-03-01,2008,0,0,1,50
"Billund","Commercial","Billund","","Denmark","Outgoing","Non Scheduled",2008-12-01,2008,0,0,1,253
"Billund","Commercial","Billund","","Denmark","Incoming","Non Scheduled",2011-05-01,2011,6,0,1,148
"Billund","Commercial","Billund","","Denmark","Incoming","Non Scheduled",2008-09-01,2008,127,0,2,296
"Billund","Commercial","Billund","","Denmark","Incoming","Non Scheduled",2008-11-01,2008,0,0,1,272
"Billund","Commercial","Billund","","Denmark","Incoming","Non Scheduled",2009-05-01,2009,0,0,1,50
"Billund","Commercial","Billund","","Denmark","Incoming","Scheduled",2012-06-01,2012,1531,0,13,2457
"Billund","Commercial","Billund","","Denmark","Outgoing","Scheduled",2012-05-01,2012,784,0,7,1323
"Billund","Commercial","Billund","","Denmark","Outgoing","Non Scheduled",2008-03-01,2008,49,0,1,50
"Billund","Commercial","Billund","","Denmark","Incoming","Non Scheduled",2007-06-01,2007,50,0,1,50
"Billund","Commercial","Billund","","Denmark","Outgoing","Scheduled",2012-06-01,2012,1402,0,13,2457
"Billund","Commercial","Billund","","Denmark","Outgoing","Non Scheduled",2007-06-01,2007,49,0,1,50
"Billund","Commercial","Billund","","Denmark","Outgoing","Non Scheduled",2009-02-01,2009,0,0,1,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Outgoing","Non Scheduled",2012-05-01,2012,0,726,1,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Outgoing","Non Scheduled",2011-10-01,2011,0,0,3,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Outgoing","Non Scheduled",2010-11-01,2010,0,0,1,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Incoming","Non Scheduled",2011-01-01,2011,0,0,1,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Incoming","Non Scheduled",2009-10-01,2009,0,8,1,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Outgoing","Non Scheduled",2011-08-01,2011,0,0,1,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Outgoing","Non Scheduled",2010-07-01,2010,0,1728,3,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Incoming","Non Scheduled",2012-06-01,2012,0,0,1,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Outgoing","Scheduled",2012-04-01,2012,1265,0,8,1512
"Birmingham","Commercial","Birmingham","","United Kingdom","Incoming","Scheduled",2012-04-01,2012,1048,0,8,1512
"Birmingham","Commercial","Birmingham","","United Kingdom","Outgoing","Non Scheduled",2011-12-01,2011,0,0,1,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Outgoing","Scheduled",2012-03-01,2012,209,0,2,378
"Birmingham","Commercial","Birmingham","","United Kingdom","Incoming","Scheduled",2012-06-01,2012,1151,0,9,1701
"Birmingham","Commercial","Birmingham","","United Kingdom","Incoming","Scheduled",2012-05-01,2012,1202,0,9,1701
"Birmingham","Commercial","Birmingham","","United Kingdom","Incoming","Non Scheduled",2010-11-01,2010,0,0,2,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Incoming","Non Scheduled",2010-07-01,2010,0,0,3,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Outgoing","Non Scheduled",2012-06-01,2012,0,0,1,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Incoming","Non Scheduled",2011-12-01,2011,0,0,2,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Incoming","Non Scheduled",2009-12-01,2009,0,0,1,180
"Birmingham","Commercial","Birmingham","","United Kingdom","Outgoing","Scheduled",2012-06-01,2012,1522,0,9,1701
"Birmingham","Commercial","Birmingham","","United Kingdom","Incoming","Scheduled",2012-03-01,2012,301,0,2,378
"Birmingham","Commercial","Birmingham","","United Kingdom","Outgoing","Non Scheduled",2011-09-01,2011,0,6816,2,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Outgoing","Non Scheduled",2012-01-01,2012,0,0,3,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Incoming","Non Scheduled",2012-05-01,2012,0,620,2,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Incoming","Non Scheduled",2012-03-01,2012,0,0,3,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Incoming","Non Scheduled",2011-10-01,2011,0,180,3,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Incoming","Non Scheduled",2011-09-01,2011,0,0,1,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Incoming","Non Scheduled",2009-09-01,2009,0,0,1,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Incoming","Non Scheduled",2010-10-01,2010,0,0,1,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Outgoing","Scheduled",2012-05-01,2012,1305,0,9,1701
"Birmingham","Commercial","Birmingham","","United Kingdom","Outgoing","Non Scheduled",2012-03-01,2012,0,1334,10,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Outgoing","Non Scheduled",2011-06-01,2011,0,0,1,0
"Birmingham","Commercial","Birmingham","","United Kingdom","Outgoing","Non Scheduled",2010-10-01,2010,0,0,1,0
"Blackpool","Commercial","Blackpool","","United Kingdom","Incoming","Non Scheduled",2009-12-01,2009,139,0,1,148
"Bodo","Commercial","Bodo","","Norway","Outgoing","Non Scheduled",2009-05-01,2009,157,0,2,378
"Bodo","Commercial","Bodo","","Norway","Incoming","Non Scheduled",2009-05-01,2009,158,0,2,378
"Bodrum","Commercial","Bodrum","","Turkey","Outgoing","Non Scheduled",2011-08-01,2011,661,0,4,672
"Bodrum","Commercial","Bodrum","","Turkey","Incoming","Non Scheduled",2007-07-01,2007,215,0,3,433
"Bodrum","Commercial","Bodrum","","Turkey","Outgoing","Non Scheduled",2012-06-01,2012,274,0,2,310
"Bodrum","Commercial","Bodrum","","Turkey","Outgoing","Non Scheduled",2011-07-01,2011,827,0,7,1160
"Bodrum","Commercial","Bodrum","","Turkey","Incoming","Non Scheduled",2011-09-01,2011,788,0,5,850
"Bodrum","Commercial","Bodrum","","Turkey","Incoming","Non Scheduled",2011-06-01,2011,393,0,4,660
